CODE POSTAL,NOM DE LA COMMUNE,Geometry X Y,latitude,longitude
34120,CAZOULS D HERAULT,"43.5018486169,3.45727466019",43.5018486169,3.45727466019
34920,LE CRES,"43.6540978695,3.93608851243",43.6540978695,3.93608851243
34620,PUISSERGUIER,"43.3772339365,3.04590546447",43.3772339365,3.04590546447
34490,THEZAN LES BEZIERS,"43.4132925116,3.15810877475",43.4132925116,3.15810877475
35340,ERCE PRES LIFFRE,"48.2542003303,-1.51716704496",48.2542003303,-1.51716704496
1470,BRIORD,"45.7708330939,5.48537461884",45.7708330939,5.48537461884
1420,CHANAY,"46.005695299,5.76893393185",46.005695299,5.76893393185
1410,CHEZERY FORENS,"46.222573373,5.87248105275",46.222573373,5.87248105275
2320,BRANCOURT EN LAONNOIS,"49.5176286609,3.41282321335",49.5176286609,3.41282321335
2470,MONNES,"49.1458358775,3.22861820737",49.1458358775,3.22861820737
2450,LA NEUVILLE LES DORENGT,"49.983064353,3.68565926181",49.983064353,3.68565926181
2790,SERAUCOURT LE GRAND,"49.780519235,3.21829749297",49.780519235,3.21829749297
3380,LA CHAPELAUDE,"46.4276365849,2.50433585569",46.4276365849,2.50433585569
3330,LOUROUX DE BOUBLE,"46.2297197928,2.97309854454",46.2297197928,2.97309854454
3340,MERCY,"46.4511354301,3.52416501976",46.4511354301,3.52416501976
3420,RONNET,"46.2015478227,2.70087446856",46.2015478227,2.70087446856
3410,ST VICTOR,"46.3882767935,2.60941319336",46.3882767935,2.60941319336
4530,LA CONDAMINE CHATELARD,"44.4627686721,6.69629170403",44.4627686721,6.69629170403
6320,CAP D AIL,"43.7247392327,7.40161617522",43.7247392327,7.40161617522
6340,LA TRINITE,"43.7433480978,7.33946073911",43.7433480978,7.33946073911
7100,ANNONAY,"45.2460902392,4.65026947295",45.2460902392,4.65026947295
7430,ST CLAIR,"45.2755892948,4.68712205",45.2755892948,4.68712205
7530,ST JOSEPH DES BANCS,"44.748161488,4.41397525518",44.748161488,4.41397525518
7220,ST THOME,"44.5023905897,4.61908212557",44.5023905897,4.61908212557
9340,VERNIOLLE,"43.0809118963,1.6610092477",43.0809118963,1.6610092477
10150,CRENEY PRES TROYES,"48.342847974,4.13898615195",48.342847974,4.13898615195
11390,LAPRADE,"43.440478585,2.25257707156",43.440478585,2.25257707156
12310,GAILLAC D AVEYRON,"44.3616362767,2.90279259177",44.3616362767,2.90279259177
12150,SEVERAC LE CHATEAU,"44.3000638764,3.08915100601",44.3000638764,3.08915100601
13104,ARLES,"43.5468692378,4.66215642574",43.5468692378,4.66215642574
13121,AURONS,"43.6715125585,5.14903600713",43.6715125585,5.14903600713
13440,CABANNES,"43.8584804516,4.95793402726",43.8584804516,4.95793402726
13113,LAMANON,"43.704757813,5.0886270398",43.704757813,5.0886270398
14510,GONNEVILLE SUR MER,"49.2895459348,-0.0363153826405",49.2895459348,-0.0363153826405
14590,LE PIN,"49.2139284087,0.335606713114",49.2139284087,0.335606713114
14740,STE CROIX GRAND TONNE,"49.2337047582,-0.556033226741",49.2337047582,-0.556033226741
15340,MOURJOU,"44.6974161055,2.31659060855",44.6974161055,2.31659060855
16410,DIGNAC,"45.5542534164,0.283491007595",45.5542534164,0.283491007595
16490,HIESSE,"46.0498472746,0.581727816732",46.0498472746,0.581727816732
16440,NERSAC,"45.6253691605,0.0621903047823",45.6253691605,0.0621903047823
16290,ST SATURNIN,"45.6676447323,0.0400326832597",45.6676447323,0.0400326832597
17100,LA CHAPELLE DES POTS,"45.7644455528,-0.534261419507",45.7644455528,-0.534261419507
18410,BLANCAFORT,"47.5351356226,2.54166761341",47.5351356226,2.54166761341
18150,GERMIGNY L EXEMPT,"46.9149646451,2.88246532896",46.9149646451,2.88246532896
18380,IVOY LE PRE,"47.355231934,2.5102170858",47.355231934,2.5102170858
18220,MOROGUES,"47.2574083445,2.59600177096",47.2574083445,2.59600177096
18400,ST FLORENT SUR CHER,"46.9913946761,2.25409311039",46.9913946761,2.25409311039
19120,ASTAILLAC,"44.9515500002,1.83033967926",44.9515500002,1.83033967926
19340,COURTEIX,"45.6460610624,2.34358593599",45.6460610624,2.34358593599
19110,SARROUX,"45.4307878428,2.46791610907",45.4307878428,2.46791610907
19240,VARETZ,"45.1887606718,1.43403558868",45.1887606718,1.43403558868
21160,CORCELLES LES MONTS,"47.3040555868,4.94246444675",47.3040555868,4.94246444675
21600,LONGVIC,"47.285832398,5.05278368483",47.285832398,5.05278368483
